gamma,R2,MAE,RMSE,fit_time(s)
0.001,0.8441047819267948,726.8085215283538,1346.2116830758384,27.400994539260864
0.01,0.8495836163548696,716.5676350701419,1322.3442461605948,27.428425073623657
0.05,0.8509655588524512,713.5870101278633,1316.2557458524193,31.752904415130615
0.1,0.8518408866636628,708.920388695016,1312.384654095714,33.28686857223511
0.5,0.8544129098298452,700.0926418571279,1300.9433674237468,34.46874284744263
1,0.8551820064074637,696.7107973253716,1297.5025540886757,34.2846794128418
1.5,0.8558371948562933,694.7564731775028,1294.5641333664132,36.2597496509552
2,0.856155513140894,693.5464865076606,1293.1341141591859,39.46656847000122
3,0.8559446901213952,693.860353825789,1294.0813962783582,45.49509263038635
5,0.8554602507795475,693.9658642384445,1296.2554840492248,57.52259826660156
8,0.854666839586723,694.921545011999,1299.8083340740195,66.81788182258606
10,0.854044330947238,696.0488267797646,1302.5891079604012,73.92537569999695
scale,0.8535426053870618,702.0332982771225,1304.8260254306003,32.02656412124634
auto,0.8535426053870618,702.0332982771225,1304.8260254306003,31.384624481201172
