epsilon,R2,MAE,RMSE,fit_time(s)
50,0.8513400651208997,707.1601037408702,1314.6009065660694,44.164653062820435
100,0.8514495594158109,707.2462730292923,1314.1166879568596,25.32666826248169
150,0.8514765129622489,707.5262654273122,1313.997463429927,21.061376333236694
200,0.8516178941320568,707.9438974205709,1313.371910079843,19.349289178848267
250,0.8518714572646946,708.9634723967273,1312.2492508237062,17.311144590377808
300,0.8519855481588635,710.9646118375241,1311.74379614537,16.99563765525818
350,0.8522141548898562,713.8614671439947,1310.7304176044806,14.70152235031128
400,0.8523943530486471,717.6097186610249,1309.9310743053643,11.737087965011597
450,0.8525328986940259,721.3860600514814,1309.316166081088,12.01300573348999
500,0.8525536523757898,728.5625577234914,1309.224029981192,11.654003143310547
550,0.8525007119779558,736.1282912469758,1309.4590463845998,9.986473083496094
600,0.8521707464097559,750.076672410889,1310.922900984091,9.124714136123657
