gamma,R2,MAE,RMSE,fit_time(s)
0.001,0.7449112824757773,915.4017688336803,1722.0374161746684,41.26704025268555
0.01,0.8386408065654054,735.1990812969539,1369.600214995469,50.68102216720581
0.05,0.846478813361205,725.0766244968983,1335.922048448717,35.928141593933105
0.1,0.8469935955879602,722.6025860379037,1333.680382619723,34.94006299972534
0.5,0.848046356123575,712.1728121011697,1329.084269278571,35.77106308937073
1,0.8491260437567236,708.9451339650504,1324.3540306525215,34.84441876411438
1.5,0.8494694699679558,706.952388937936,1322.8458942825205,34.417150020599365
2,0.8498200844022707,705.8236787099914,1321.3044154386055,36.1591899394989
3,0.8498583844674304,704.3391778654392,1321.1359199646758,40.33213686943054
5,0.8488018377334962,704.0694189615986,1325.7761884323115,45.643866777420044
8,0.846959491648276,706.3682111782315,1333.8290078399875,44.35268568992615
10,0.8456795553268387,708.0677835742474,1339.3950554688506,45.62462902069092
scale,0.8474079994555679,715.3929117725957,1331.8730823277729,35.386751890182495
auto,0.8474079994555679,715.3929117725957,1331.8730823277729,35.445963621139526
